Advertiser/Account ID/Account Name,Calculation2,Market,Platform
8.28307E+14, ,UK,Facebook
8.2831E+14, ,UK,Facebook
9.29858E+14, ,UK,Facebook
1.0762E+15, ,UK,Facebook
1.0762E+15, ,UK,Facebook
1.0762E+15, ,UK,Facebook
1.09963E+15, ,UK,Facebook
1.09963E+15, ,UK,Facebook
1.09965E+15, ,UK,Facebook
1.10174E+15, ,UK,Facebook
1.10228E+15, ,UK,Facebook
1.14525E+15, ,UK,Facebook
1.21502E+15, ,UK,Facebook
1.23703E+15, ,UK,Facebook
1.2413E+15, ,UK,Facebook
1.29002E+15, ,UK,Facebook
1.29003E+15, ,UK,Facebook
1.29003E+15, ,UK,Facebook
1.32158E+15, ,UK,Facebook
1.33295E+15, ,UK,Facebook
1.38989E+15, ,UK,Facebook
1.41669E+15, ,UK,Facebook
1.41669E+15, ,UK,Facebook
1.4299E+15, ,UK,Facebook
1.46737E+15, ,UK,Facebook
2.043E+15, ,UK,Facebook
01_Sage_Core Financials_FY18, ,UK,Linkedin
"	01_Sage_Partners_Q4_FY17_SU", ,UK,Linkedin
"	02_Sage_A&F_Q4_FY17_SU", ,UK,Linkedin
02_Sage_Accounting_FY18, ,UK,Linkedin
03_Sage_Payments_FY18, ,UK,Linkedin
04_Sage_BMS_FY18, ,UK,Linkedin
"	04_Sage_BMS_Q4_FY17_SU", ,UK,Linkedin
"	05_Sage_Payments_Q4_FY17_SU", ,UK,Linkedin
05_Sage_Payroll_FY18, ,UK,Linkedin
"	06_Sage_Payroll_Q4_FY17_SU", ,UK,Linkedin
06_Sage_People_FY18, ,UK,Linkedin
07_Sage_Accountants_FY18, ,UK,Linkedin
07_Sage_Accountants_SageSession_FY18, ,UK,Linkedin
"	07_SU_Sage_EMEA_Q4_FY17", ,UK,Linkedin
"	08_InMail_Sage_EMEA_Q4_FY17", ,UK,Linkedin
08_Sage_Brand_FY18, ,UK,Linkedin
09_Sage_Partners_FY18, ,UK,Linkedin
"	09_SU_Sage_Payroll People_Q4_FY17", ,UK,Linkedin
10_Sage_50c_FY18, ,UK,Linkedin
"	10_SU_Sage_Partnerships - SageLive&Accupos_Q4_FY17", ,UK,Linkedin
11_Sage_C4L BMS_FY18, ,UK,Linkedin
"	11_SU_Sage_BRAND_EMEA_Q42017", ,UK,Linkedin
Sage UK FY19, ,UK,Linkedin
SAGE_Addedvalue_FY18, ,UK,Linkedin
Sage_Q4_NetworkAuto-Enrolment_Ogilvy2016 / 16960702_SEONE, ,UK,Linkedin
Sage_Q4_Payments_Neo2016 / 16960702, ,UK,Linkedin
Sage_SagePeople _ Ogilvy2016 / 16960702_SOP, ,UK,Linkedin
SU_Sage_GlobalUK_Accounting Solutions_SU&InMail_Q3-Q4_FY16_Neo@Ogilvy_ACNTG, ,UK,Linkedin
18ce53z39ku, ,UK,Twitter
18ce54a24x4, ,UK,Twitter
18ce54a24xc, ,UK,Twitter
18ce54a24xj, ,UK,Twitter
18ce54a24xn, ,UK,Twitter
18ce54a24xu, ,UK,Twitter
18ce54kb2le, ,UK,Twitter
Sage|USA, ,US,DCM
Sage|USA, ,US,DS3
US|Accountants, ,US,DS3
US|Accounting_Finance, ,US,DS3
US|BMS, ,US,DS3
US|Payments, ,US,DS3
US|People & Payroll, ,US,DS3
US|Sage Summit, ,US,DS3
4P5H336TOZE6DNEWOIRQ66, ,US & CA,ADROLL
5KHKXZIPT5C4FCUC2P23NO, ,US & CA,ADROLL
GGVJTVIQ5NB4LFLC3FWTA2, ,US & CA,ADROLL
IJPUQDWM7NGRPDIQJPSJU4, ,US & CA,ADROLL
LSNUILYRWREPDAM5SQ5MK7, ,US & CA,ADROLL
YZ3W74EFKNA2NF5PWITA5P, ,US & CA,ADROLL
Sage NA, ,US & CA,DBM
Sage US, ,US & CA,DBM
Sage|USA, ,US & CA,DBM
FAS, ,US & CA,DS3
HRMS, ,US & CA,DS3
Impact, ,US & CA,DS3
North America Brand, ,US & CA,DS3
Payments Center, ,US & CA,DS3
Payments ISO, ,US & CA,DS3
Sage 100/300 Canada, ,US & CA,DS3
Sage 100/300 ERP, ,US & CA,DS3
Sage â€“ X3 ERP, ,US & CA,DS3
Sage Accounting Hub, ,US & CA,DS3
Sage Accounting Hub - CA, ,US & CA,DS3
Sage CRE, ,US & CA,DS3
Sage CRE - Display, ,US & CA,DS3
Sage Live, ,US & CA,DS3
Sage Live Canada, ,US & CA,DS3
Sage Live For Accountants, ,US & CA,DS3
Sage Live for Accountants CA, ,US & CA,DS3
Sage NA - Display, ,US & CA,DS3
Sage One - US Campaign, ,US & CA,DS3
Sage Payments, ,US & CA,DS3
Sage Payments Dev. Portal, ,US & CA,DS3
Sage Payroll, ,US & CA,DS3
Sage X3 Canada, ,US & CA,DS3
Sage-SBS-Sage 50-CA, ,US & CA,DS3
Sage-SBS-Sage 50-US, ,US & CA,DS3
Sage-SBS-Sage One-CA, ,US & CA,DS3
Sage-SBS-Sage One-US, ,US & CA,DS3
SAS, ,US & CA,DS3
Timeslips, ,US & CA,DS3
4.98249E+14, ,CA,Facebook
7.12433E+14, ,CA,Facebook
1.01532E+16, ,US & CA,Facebook
1.01535E+16, ,US & CA,Facebook
1.01536E+16, ,US,Facebook
1.01536E+16, ,US & CA,Facebook
1.01536E+16, ,US & CA,Facebook
1.01536E+16, ,US & CA,Facebook
1.01536E+16, ,US & CA,Facebook
1.01536E+16, ,US & CA,Facebook
1.01536E+16, ,US & CA,Facebook
1.01536E+16, ,US & CA,Facebook
1.01536E+16, ,US & CA,Facebook
1.01539E+16, ,US & CA,Facebook
1.01539E+16, ,US & CA,Facebook
1.01539E+16, ,US & CA,Facebook
1.0154E+16, ,US & CA,Facebook
1.01541E+16, ,US & CA,Facebook
1.01541E+16, ,US & CA,Facebook
1.01541E+16, ,US & CA,Facebook
1.01541E+16, ,US & CA,Facebook
1.01542E+16, ,US & CA,Facebook
1.01542E+16, ,US & CA,Facebook
1.01542E+16, ,US & CA,Facebook
1.01542E+16, ,US & CA,Facebook
1.01542E+16, ,US & CA,Facebook
1.01543E+16, ,US & CA,Facebook
1.01543E+16, ,US & CA,Facebook
1.01545E+16, ,US & CA,Facebook
1.01545E+16, ,US & CA,Facebook
1.01546E+16, ,US & CA,Facebook
1.01546E+16, ,US & CA,Facebook
1.01548E+16, ,US,Facebook
1.01548E+16, ,US & CA,Facebook
1.01548E+16, ,US & CA,Facebook
1.01549E+16, ,US,Facebook
1.01549E+16, ,US & CA,Facebook
1.01549E+16, ,US & CA,Facebook
1.01556E+16, ,US & CA,Facebook
1.0156E+16, ,US & CA,Facebook
1588767, ,US & CA,GEMINI
1650230, ,US & CA,GEMINI
1650462, ,US & CA,GEMINI
1650470, ,US & CA,GEMINI
InMail_Sage neo@ogilvy Accounting General 2858 Q4 2016 // 16851262, ,US & CA,Linkedin
Sage C4L Q1 2018_Sponsored Content, ,US & CA,Linkedin
Sage C4L Q1 2018_Sponsored InMail, ,US & CA,Linkedin
Sage CA_H1 FY19_Sponsored Content, ,CA,Linkedin
Sage CA_H1 FY19_Sponsored InMail, ,US & CA,Linkedin
Sage NA_Q2 2018 C4L_Sponsored Content, ,US & CA,Linkedin
Sage NA_Q2 2018 C4L_Sponsored InMail, ,US & CA,Linkedin
Sage NA_Q4 2018 Solutions Combined_Sponsored Content, ,US & CA,Linkedin
Sage Q1 2019_Cross Segment_CA_XSEG_, ,CA,Linkedin
Sage Q1 2019_People_US_PEEPS_, ,US,Linkedin
Sage Q2 2019_Cross Segment_CA_XSEG_, ,CA,Linkedin
Sage Q2 2019_People_US_PEEPS_, ,US,Linkedin
Sage Q2 2018 Solutions Combined_NA InMail, ,US & CA,Linkedin
Sage Q2 2018 Solutions Combined_NA Sponsored Content, ,US & CA,Linkedin
Sage Q4 2018_C4L_50US_Alliance, ,US & CA,Linkedin
Sage US_H1 FY19_Sponsored Content, ,US,Linkedin
Sage US_H1 FY19_Sponsored InMail, ,US,Linkedin
Sage_ISO_Q4_12970582_11/16/2015-12/16/2015, ,US & CA,Linkedin
Sage_Q1 2018 Combined_InMail, ,US & CA,Linkedin
Sage_Q1 2018 Combined_Sponsored Content, ,US & CA,Linkedin
Sage_Q3 BMS US_Ogilvy_SGBMS, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_50CA_14185222, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_BMS&SFA_SGBMS, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_FY17_Accountants Solutions_SponsoredContent_ACCOG, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_FY2016_Q2_Sage 50CA_SU_Renewal _15622822, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_FY2016_Q2_Sage Live_SU_15697342, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_People&Payroll_SSP, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q1_Sage50CA, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q1_Sage50US, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q1_Sage100300, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q1_SageBMSSolutions_SponsoredUpdates, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q1_SageLive_InMails_US, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q1_SageLive_SponsoredUpdates_US, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q1_SagePaymentsSolutions, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q1_SagePayroll_SponsoredUpdates, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q1_SagePeopleUSandCA, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q1_SageX3, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q1_SFA_SponsoredUpdates, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q2_50 US_SponsoredUpdates_SFIF, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q2_AccountingSolutions_SponsoredUpdates_SWO, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_Q2_SageBMSSolutions_SSBMS_SponsoredContent_17339182, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_SageHRMS_14762542, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_SageLive_14171182, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_SageLivePart2_14350342, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_SagePayments_Q2_14433142, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_SagePaymentsISO_14624302, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_SageSummit_15475102, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_SageX3_14251702, ,US & CA,Linkedin
SageSoftware_Neo@Ogilvy_X3Partners_SGX, ,US & CA,Linkedin
SC_SageSoftware_Neo@Ogilvy_SAS_Impact_16184782, ,US & CA,Linkedin
Sponsored Content_Sage Software_ISO_SC_Ogilvy_15924142, ,US & CA,Linkedin
neoogilvyla-construction-sc, ,US & CA,TABOOLA
neoogilvyla-payroll-sc, ,US & CA,TABOOLA
neoogilvyla-people, ,US & CA,TABOOLA
neoogilvyla-sageaccountingsolutions-sc, ,US & CA,TABOOLA
neoogilvyla-sagebms-sc, ,US & CA,TABOOLA
neoogilvyla-sagesfa-sc, ,US & CA,TABOOLA
8iml4, ,US & CA,Twitter
