Placement,Model
PK4HGQ_HONEST JOHN_Mazda 6 Keywords_300 x 250_Cross Device_Site Specific,Mazda 6
PK4HGV_HONEST JOHN_MX-5 Keywords_300 x 250_Cross Device_Site Specific,MX-5
PK4HHX_HONEST JOHN_CX-3 Keywords_300 x 250_Cross Device_Site Specific,CX-3 & CX-5
PK4HJR_HONEST JOHN_CX-5 Keywords_300 x 250_Cross Device_Site Specific,CX-3 & CX-5
DataXu Mazda 2 financial 468x60,Mazda 2
DataXu Mazda 2 financial 728x90,Mazda 2
DataXu Mazda 3 brochure 300x250,Mazda 3
DataXu Mazda 3 financial 300x250,Mazda 3
DataXu Mazda 6 brochure 300x250,Mazda 6
DataXu Mazda 6 brochure 728x90,Mazda 6
DataXu Mazda MX5 brochure 120x600,MX-5
DataXu Mazda MX5 brochure 468x60,MX-5
DataXu Mazda MX5 financial 728x90,MX-5
DataXu Mazda SUV financial 160x600,CX-3 & CX-5
PKB46N_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,CX-3 & CX-5
PKB46Q_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,CX-3 & CX-5
PKB46R_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,CX-3 & CX-5
PKB46T_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,CX-3 & CX-5
PKB46W_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,CX-3 & CX-5
PKB4BF_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,CX-3 & CX-5
PKB4BJ_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,CX-3 & CX-5
PKB4BQ_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,CX-3 & CX-5
PKB4BY_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,CX-3 & CX-5
PKB4C5_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,CX-3 & CX-5
PKB4GC_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,CX-3 & CX-5
