Placement,Model
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Brochure|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Configure|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Learn More|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Test Drive|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Brochure|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Configure|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Learn More|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Brochure|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Configure|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Brochure|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Configure|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Brochure|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Configure|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x600|Configure|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|160x600|Brochure|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|160x600|Configure|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|160x600|Learn More|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|160x600|Test Drive|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x250|Brochure|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x250|Configure|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x250|Learn More|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x600|Brochure|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x600|Configure|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|728x90|Brochure|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|728x90|Configure|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|970x250|Brochure|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|970x250|Configure|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|160x600|Brochure|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|160x600|Configure|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|160x600|Learn More|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|160x600|Test Drive|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x250|Brochure|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x250|Configure|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x250|Learn More|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x600|Brochure|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x600|Configure|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|728x90|Brochure|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|728x90|Configure|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|970x250|Brochure|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|970x250|Configure|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Brochure|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Configure|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Learn More|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Test Drive|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Brochure|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Configure|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Learn More|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Brochure|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Configure|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Brochure|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Configure|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Brochure|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Configure|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|160x600|Brochure|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|160x600|Configure|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|160x600|Learn More|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|160x600|Test Drive|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x250|Brochure|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x250|Configure|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x250|Learn More|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x600|Brochure|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x600|Configure|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|728x90|Brochure|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|728x90|Configure|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|970x250|Brochure|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|970x250|Configure|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-5|None|Consumer|Tactical|Prospecting|Contextual|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|160x600|Brochure|Standard Edition|45283386|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|160x600|Configure|Standard Edition|45283386|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|160x600|Financial|Standard Edition|45283386|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|160x600|Learn More|Standard Edition|45283386|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|160x600|Test Drive|Standard Edition|45283386|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x250|Brochure|Standard Edition|45283388|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x250|Configure|Standard Edition|45283388|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x250|Financial|Standard Edition|45283388|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x250|Learn More|Standard Edition|45283388|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x250|Test Drive|Standard Edition|45283388|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x600|Brochure|Standard Edition|45299897|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x600|Configure|Standard Edition|45299897|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x600|Financial|Standard Edition|45299897|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x600|Learn More|Standard Edition|45299897|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|300x600|Test Drive|Standard Edition|45299897|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|728x90|Brochure|Standard Edition|45300529|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|728x90|Configure|Standard Edition|45300529|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Audience|Awareness|BAU|728x90|Financial|Standard Edition|45300529|DCM,MX-5
