Placement,Site Name
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|SUV|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,Auto Trader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|SUV|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,Auto Trader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45299897|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45299897|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45299897|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45300529|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Standard Edition|45300529|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Standard Edition|45300529|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45300531|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45300531|DCM,Haymarket PMP
