Activity,ActivityName
Accounting|FY18|Q4|LP|BOFURetargeting,Accounting|FY18|Q4|LP|BOFURetargeting
FY18|Q4|LP|SmallBusinessRetargeting,FY18|Q4|LP|SmallBusinessRetargeting
HR&Payroll|FY18|Q4|LP|BOFURetargeting,HR&Payroll|FY18|Q4|LP|BOFURetargeting
Payments|FY18|Q2|LP|SagePayHomepage,Payments|FY18|Q2|LP|SagePayHomepage
Payments|FY18|Q3|FP|2017-landscape-report,Payments|FY18|Q3|FP|2017-landscape-report
Payments|FY18|Q3|LP|sagepay.co.uk,Payments|FY18|Q3|LP|sagepay.co.uk
Sage One Free Trial Dynamic tag,Sage One Free Trial Dynamic tag
SmallBusiness|Payments|FY18|Q4|LP|BOFURetargeting,SmallBusiness|Payments|FY18|Q4|LP|BOFURetargeting
Sage Intelligence LP,Sage Intelligence LP
Sage One Login,Sage One Login
Fairsail,Fairsail
SAGE_IRE Sage50c_LP,SAGE_IRE Sage50c_LP
Sage One Accountants_AYAA - FOM - UVI4_OC_v2,Sage One Accountants_AYAA - FOM - UVI4_OC_v2
Sage_UK_My_Sage_Help_LP,Sage_UK_My_Sage_Help_LP
UK SageOne Homepage,UK SageOne Homepage
Sage Pay_Homepage_v2,Sage Pay_Homepage_v2
CoreFinancials|FY18|Q3|TY|ACG_18Q1_NCM_GBIE_DGWW_ER0260_GuidedTour_ITRS_,CoreFinancials|FY18|Q3|TY|ACG_18Q1_NCM_GBIE_DGWW_ER0260_GuidedTour_ITRS_
Sage Global_Accountants Landing page OPL_ES,Sage Global_Accountants Landing page OPL_ES
Sage Global_Accounting Landing page ES,Sage Global_Accounting Landing page ES
Sage.com_AudienceTag_LP,Sage.com_AudienceTag_LP
SAGE_Local_Account_Transaction_Report_Click_Counter_DO NOT USE,SAGE_Local_Account_Transaction_Report_Click_Counter_DO NOT USE
SAGE_Local_Accounting_Products_Accounting_Software_Landing_Page_ZA,SAGE_Local_Accounting_Products_Accounting_Software_Landing_Page_ZA
Sage_ZA_Product Pages_Landing Page,Sage_ZA_Product Pages_Landing Page
Sage_Global_Accounting_Confirmation_BuyNow_IBUY_CONV_ZA,Sage_Global_Accounting_Confirmation_BuyNow_IBUY_CONV_ZA
Sage_Shop_Ecommerce_Landing Page,Sage_Shop_Ecommerce_Landing Page
SageONE_Home page ES_OPL,SageONE_Home page ES_OPL
SageONE_Landing pages ES_OPL,SageONE_Landing pages ES_OPL
SageContaPlus_LP_OPL_ES,SageContaPlus_LP_OPL_ES
SageTienda_Home page OPL_ES,SageTienda_Home page OPL_ES
Sage.com_FormTag,Sage.com_FormTag
SAGE|Global Floodlight Tag|FY18|Q1|,SAGE|Global Floodlight Tag|FY18|Q1|
Sage_Accountants_Best Practice_Free_Trial_Demo_LP,Sage_Accountants_Best Practice_Free_Trial_Demo_LP
Sage_Accounting & Practice Management_HandiSoft__Support_Contact_FP,Sage_Accounting & Practice Management_HandiSoft__Support_Contact_FP
Sage_GENERAL_All__Enquiry_Contact_FP,Sage_GENERAL_All__Enquiry_Contact_FP
Sage_Accounting_SageOne_LP,Sage_Accounting_SageOne_LP
Sage_payroll & HR_ConnX_LP,Sage_payroll & HR_ConnX_LP
SAGE_Local_HRP_Customer_Zone_LandingPage,SAGE_Local_HRP_Customer_Zone_LandingPage
Sage_Accounting.Sage_FreeTrial_LandingPage_ZA,Sage_Accounting.Sage_FreeTrial_LandingPage_ZA
Africa_Accounting Sign Up_CONV_ITRS_,Africa_Accounting Sign Up_CONV_ITRS_
SAGE_Local_Accounting_Customer_Zone_LandingPage,SAGE_Local_Accounting_Customer_Zone_LandingPage
SAGE_Local_HRP_Products_Software_Landing_Page_ZA,SAGE_Local_HRP_Products_Software_Landing_Page_ZA
SAGE_Local_Pastel_Xpress_Advantage_Landing_Page_ZA,SAGE_Local_Pastel_Xpress_Advantage_Landing_Page_ZA
SAGE_France_non_conversion,SAGE_France_non_conversion
2018|Q4|Sage|ZA|Accounting Medium Segment|_ACGRC_|Programmatic|D010118POH000451|_LP,2018|Q4|Sage|ZA|Accounting Medium Segment|_ACGRC_|Programmatic|D010118POH000451|_LP
Sage One Accounting _FOM - UVI4_OC_v2,Sage One Accounting _FOM - UVI4_OC_v2
Accounting|FY18|Q3|TY|ACG_18Q2_C4L_GB_DGEO_AC0220_50cGCL_Webinar_CONT_,Accounting|FY18|Q3|TY|ACG_18Q2_C4L_GB_DGEO_AC0220_50cGCL_Webinar_CONT_
Accounting|FY17|Q4|TY|uk/direct_debits/wizard_IBUY_,Accounting|FY17|Q4|TY|uk/direct_debits/wizard_IBUY_
P&P|FY18|Q1|LP|sage-people,P&P|FY18|Q1|LP|sage-people
Accounting|FY17|Q4|TY|settings/services/manage_CONV_IBUY_,Accounting|FY17|Q4|TY|settings/services/manage_CONV_IBUY_
Accounting|FY18|Q3|TY|settings/stripe_settings,Accounting|FY18|Q3|TY|settings/stripe_settings
Accounting|FY17|Q4|TY|uk/conversion_ITRS_,Accounting|FY17|Q4|TY|uk/conversion_ITRS_
Sage Global_Accounting Confirmation page_CONT_ES,Sage Global_Accounting Confirmation page_CONT_ES
SageMurano_Home page ES_OPL,SageMurano_Home page ES_OPL
Sage_Global_Accounting_Confirmation_2_CONT_ES,Sage_Global_Accounting_Confirmation_2_CONT_ES
Sage_Accountants Landing Page_PT_OPL,Sage_Accountants Landing Page_PT_OPL
Sage_Accounting Landing Page_PT_OPL,Sage_Accounting Landing Page_PT_OPL
Sage_Accountants Trial_CONT_PT_OC_CONV,Sage_Accountants Trial_CONT_PT_OC_CONV
Sage_Cross_CONT_Trial_PT_OC_CONV,Sage_Cross_CONT_Trial_PT_OC_CONV
Sage_Cross Landing Page_PT_OPL,Sage_Cross Landing Page_PT_OPL
Sage_BMS Landing page_PT_OPL,Sage_BMS Landing page_PT_OPL
One|CA|FY17|Q2|LandingPage|ca/sage-one,One|CA|FY17|Q2|LandingPage|ca/sage-one
SAS|LP|ACS_17Q4_NCM_CA_DGPS_AY0100_SANContactUsBrandPaidSearchCAEN,SAS|LP|ACS_17Q4_NCM_CA_DGPS_AY0100_SANContactUsBrandPaidSearchCAEN
BMS|X3|FY18|Q1|LP|BMS_18Q1_NCM_CA_DGPS_GLOBMS_ABM,BMS|X3|FY18|Q1|LP|BMS_18Q1_NCM_CA_DGPS_GLOBMS_ABM
