profileId,id,defaultClickThroughEventTagProperties
4742237,442959772,"{""id"": '2873202',""enabled"":'true'}"
4742237,442959793,"{""id"": '2873202',""enabled"":'true'}"
4742237,442959796,"{""id"": '2873202',""enabled"":'true'}"
